z1,z2,rho,cdf
-3.5,-1.5,-0.8899989999999999,-1.0808140406964872e-18
-3.5,-1.5,-0.8799989999999999,-1.0977546996415732e-18
-3.5,-1.5,-0.8699989999999999,-1.0875903042745216e-18
-3.5,-1.5,-0.8599989999999998,-1.0909784360635388e-18
-3.5,-1.5,-0.8499989999999998,-1.0842021724855044e-18
-3.5,-1.5,-0.8399989999999998,-1.0740377771184528e-18
-3.5,-1.5,-0.8299989999999998,-1.0164395367051604e-18
-3.5,-1.5,-0.8199989999999998,-4.1674021004911577e-19
-3.5,-1.5,-0.8099989999999998,3.3881317890172014e-18
-3.5,-1.5,-0.7999989999999998,2.3879552848993235e-17
-3.5,-1.5,-0.7899989999999998,1.175512324199518e-16
-3.5,-1.5,-0.7799989999999998,4.897849432885376e-16
-3.5,-1.5,-0.7699989999999998,1.798948902169417e-15
-3.5,-1.5,-0.7599989999999998,5.9371283659803015e-15
-3.5,-1.5,-0.7499989999999997,1.7849443982326935e-14
-3.5,-1.5,-0.7399989999999997,4.9391138287569955e-14
-3.5,-1.5,-0.7299989999999997,1.2699435551549385e-13
-3.5,-1.5,-0.7199989999999997,3.0578653419598666e-13
-3.5,-1.5,-0.7099989999999997,6.941627753566468e-13
-3.5,-1.5,-0.6999989999999997,1.4943139770278585e-12
-3.5,-1.5,-0.6899989999999997,3.0659569054034518e-12
-3.5,-1.5,-0.6799989999999997,6.022355858903601e-12
-3.5,-1.5,-0.6699989999999997,1.1369536368421255e-11
-3.5,-1.5,-0.6599989999999997,2.0701227170449258e-11
-3.5,-1.5,-0.6499989999999997,3.646338039384081e-11
-3.5,-1.5,-0.6399989999999997,6.230298296654277e-11
-3.5,-1.5,-0.6299989999999996,1.0351618297420773e-10
-3.5,-1.5,-0.6199989999999996,1.6761044867297497e-10
-3.5,-1.5,-0.6099989999999996,2.649945306149894e-10
-3.5,-1.5,-0.5999989999999996,4.0980842720025304e-10
-3.5,-1.5,-0.5899989999999996,6.209034116086279e-10
-3.5,-1.5,-0.5799989999999996,9.229795505594424e-10
-3.5,-1.5,-0.5699989999999996,1.3478851338526458e-09
