0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
767822.3964492606,749798.7219061301,761823.0026577088,757812.4079251824,752814.1505035621,729599.2212359969,725965.3186387467,715305.707874448,701351.0730907145,665780.7154829256,614100.6909335603,604010.4274517857,630408.03789364,607815.259572077,558941.5854682004,522471.4250403496,518269.79230599763,503776.5178070908,494218.13730940834,493043.0154449196,490558.19060241745,482532.5664040664,451178.6660767321,413200.12362472236,418499.38533844444,407299.5015778926,397309.8824346517,376904.28109234635,392996.46889669995,396781.89073656796,386615.94796340185,337405.2153074583,321540.7017668484,319705.28321940015,302324.6999167196
767822.3964492606,723512.6889275605,713417.0826217385,692179.7887907736,675958.5749591627,627471.7185577034,577108.7754011843,604978.058129871,602526.4884722753,608953.9924606588,627862.7671791998,616046.9674117473,591834.0369886607,593125.2287861776,551345.7693584586,502473.4113609577,484430.8655720984,486856.17298605957,497473.68625334435,488848.80198982434,474642.1017327307,468286.43430386105,449843.11634530453,425687.5230194375,426421.0090573604,403052.6490797683,403465.9663219514,383813.50712267845,391808.2436771814,392004.2231557674,382583.1441826367,372026.25895858736,349164.9208239824,337373.8269793063,324180.39885922085
767822.3964492606,762365.1033133387,759877.4672014711,738408.0242661309,745215.3392576637,749981.9169778818,717136.1057715355,693177.6154843289,655979.7414157003,646070.5185489618,671574.4652546684,685275.4881974566,665369.5679752943,651169.5045255552,636704.7697325236,624195.55640914,614300.3263886231,602823.5838533458,596665.1706454866,589731.9046662053,573682.7563789232,535292.2725648123,508679.9714817396,535732.7671217142,528311.3212987583,506224.05173956754,496025.3269848643,480109.8364947313,475355.9507950819,469112.78699334053,462315.3931752692,442231.6431404184,406338.2736204593,375189.80999621167,383385.8376977812
767822.3964492606,737742.6546228785,717818.9420247918,688729.3963884496,698638.330135806,709708.7929111399,704505.1807708764,716594.9524514402,699278.4583413983,680980.967724936,672706.540896326,661566.9624351163,627263.4201869143,605020.748640395,612248.3795940698,594585.0438021956,565578.3243628576,543258.4595985347,504855.0367994112,492296.087480133,477028.6873738706,472588.7967262532,469324.3772745653,463222.0806582342,464921.33719815145,453359.8478637224,452353.53987155977,438090.8189153119,449781.409948278,441983.658869266,432624.2517780042,409819.6950152733,401595.07567533536,393205.8831784053,384287.6907334868
767822.3964492606,768932.0278933782,765688.3233414014,753354.9323284788,745270.8949251298,752156.3386956695,742587.8602865571,738158.6709796427,710340.4966482206,689093.1212872792,688632.7881828242,675382.0219847976,646254.6351755309,630091.6281518724,611276.9444805245,579747.9410277758,581922.0933349231,566120.8585715898,530959.2974637693,548422.5641115558,507856.189464648,495271.5433645833,512332.8597325417,490607.3535754628,492550.83952153433,472831.69764893164,464555.7005488558,441260.95638600114,449665.35272647894,447022.68920371874,442497.7106090176,417618.9274733402,407310.31620671385,407561.6228256921,400988.65634607
767822.3964492606,766933.9963632313,761009.2500329206,747716.3327677026,745732.4834260175,745436.907139912,707703.8513711328,708670.71063143,681493.3659450326,667348.8846322433,693141.1665854836,687389.0341727562,670144.8743888348,655352.2171650644,632317.1523837275,635003.7874055764,618203.9526376678,598071.493379482,551696.0194707429,557021.4591407382,548250.2695396764,558550.7536757236,553205.1371031147,528799.4756160144,510024.1215026422,490436.3164082608,497162.5049946033,488316.27623551653,480905.6958316426,472624.8256977948,459104.78228330467,428315.7810258749,411946.0249804369,401217.5246715829,411269.273477438
767822.3964492606,737128.7353892869,737417.198174688,743722.6470262865,754948.6413050562,750739.2812489553,726604.8196642913,719918.9309825341,709604.3684832274,703321.7587940026,700477.4271932686,694672.2990656326,669385.5795278123,650980.1138294409,647448.2294094259,643361.6671329385,635971.0488490986,627334.6998662028,615378.9049875445,583937.8510918305,594297.9783581637,589884.0975193599,584360.9777374382,577490.0888119868,567344.487561751,558414.8111495839,560870.1530742729,564380.0883624352,551314.4110824146,555243.4301993853,537464.7417488777,513988.1868262178,493789.8626336847,505125.4313516152,495084.69144060276
767822.3964492606,693562.7987405929,694346.7900823533,619875.9824506292,609162.9530248638,645619.7371297269,642313.796318241,641979.674518112,621414.2448817539,645260.2868468197,647041.2419653438,627063.5353187772,606255.001044855,595941.030162405,586179.0832461712,584371.4720034985,579550.3869137925,567413.7722551124,555755.5278923509,552373.296586189,526213.1958040317,517779.193553052,530154.6286550999,527681.7240903265,525485.8326146832,491399.63143863616,481862.9874834017,469971.86342043336,466531.9167836568,460115.01074837183,445038.3194212015,416779.92481918924,409524.3446659615,408799.70355994976,389653.3916455241
767822.3964492606,738415.6744105245,727292.0187732093,732319.513617168,750436.6649002843,739677.1502593346,723476.2942846599,720120.2704294926,699279.9658244194,678028.4447271659,671520.5628781007,665199.564660595,645143.2744681233,598361.6648232889,589117.053214753,577721.5434003816,554700.9972834279,549699.7657007532,543496.3025148077,514646.4685881874,506940.65235130297,501364.5793793016,486436.41419552173,483136.9456808642,477344.76359950885,451174.4816303145,399157.3992253257,370267.7198570041,343615.72813503275,338817.54934976937,336534.1937788034,339987.9504420373,380979.7638787853,374452.0298025879,383494.07168108865
767822.3964492606,766654.4853759848,752048.5321820334,713832.9522392511,695767.6769784114,670234.8681501714,667289.7225906441,683394.6070819726,660549.0133692691,660167.7275252929,647528.8077395456,627349.9055636906,610894.8011885115,574622.213063336,575385.6201767517,587000.8014445129,567009.166175144,556582.1979401977,550504.772125287,523493.8004761742,549802.7701730903,544035.0563563257,538449.6301912409,507535.02056305454,495216.6192090557,478555.40252705215,494447.97805249714,478475.04996496893,479814.99502485036,477018.91209445236,462861.01681363286,431360.49763417913,420062.96217021963,409380.68411358155,403099.01838215336
767822.3964492606,764226.5695538241,760421.9776945526,746746.3638157035,744220.248155691,728838.2132396661,717812.0007024688,722398.3387056249,704062.0102478741,717029.0022482611,670515.8767362457,655048.9636779664,656324.3693799532,641545.8390576973,625609.8126614753,641071.8926051245,648633.308416885,636979.7489345648,627327.1529027374,622718.3497818714,605365.2160163036,597993.2019592015,598919.4568400834,585504.6868277119,563145.0600932203,555744.664222259,543702.4798841465,539774.0887766219,537747.9353380746,522740.57098225167,518724.7153420177,516887.75130885106,512392.3794238362,508442.3340282033,499989.19045930135
767822.3964492606,769044.2871344313,757907.0122620786,755799.1635329829,732824.5492893204,733334.3928018719,691611.2906783757,693527.7408882512,684868.2603349952,691037.3683998629,632141.4356688528,587201.026671369,579239.8843432126,554658.0343934484,504696.164896694,460540.72022950026,433918.1244673683,413273.90288808645,396382.71102557133,373209.4895679262,378398.90151975374,383128.95138094726,357812.01495778037,345261.34724076494,350730.721468014,332066.05229275214,346487.78828752926,318207.9243140173,316449.59345762327,314678.9428207538,313949.1111420304,301222.9442832982,299157.006674494,311106.850719671,324762.2577300267
767822.3964492606,766745.098383677,762672.8781229426,740563.7587422297,747204.8866744556,737886.9953550929,726497.1943203879,705818.6702052371,672240.7676898356,670574.7611260228,675531.3247519498,666214.7554544515,651838.051257125,653867.7238402595,654193.5740323515,651253.8007257081,619976.4904074351,588578.7993653516,572872.133927537,571767.0884433792,554141.0364264005,537802.9849043499,532407.2049367332,530661.9451075102,498498.0447988746,481439.349769804,477131.1178974432,490547.31359351304,475820.2840321405,458031.1366662841,445866.526564441,451889.63699140475,447959.9359458242,433624.706915039,417810.7539589039
767822.3964492606,719365.2296165169,710227.808422996,675184.6076596007,691726.7150926167,716804.8055714931,711799.505306724,713684.2113117692,686352.3267882387,659893.5355996517,688579.6499984227,683712.751436831,670215.0326918741,662355.5583723775,645678.5982609377,635579.9562019716,580224.779683952,551582.1270112558,532829.0697342197,558350.6668937441,559424.5508258751,544618.7531764368,514829.2894551158,499625.8317570802,518933.4288803052,524391.277815436,515277.814161612,485883.6560286568,451181.0111792438,419109.92387857847,414032.9596703545,397760.1593937314,418937.219492354,400491.87619315856,406145.66880455
767822.3964492606,698755.6800340038,703283.4005887137,717970.8645524707,689595.9639523292,636162.1026361776,628342.85014381,650388.5556511235,664468.8005311794,664067.7560682656,659242.0637661974,640472.7257961503,618883.976396573,583815.3350027849,557278.7768569116,552343.0666876285,553594.152793785,539519.341640588,499963.86592592445,466904.9616536004,448784.7001606319,447121.0910403229,430077.6106582388,404001.6385056981,413782.4814071487,406005.34139643295,415114.32241380535,396409.42310017016,405052.9728360032,395966.2516394193,403063.21338670095,371107.722568565,342938.40180448646,331747.2545796465,322244.5290606141
767822.3964492606,750628.0780687082,765208.5094393169,753764.8874963415,730304.9281598594,695337.643760099,663073.1035629531,682248.9167116835,624710.2323391613,561777.4781711388,526326.402121858,505318.51420211984,517758.005316557,509166.3770099521,534691.3737190794,521402.642897451,511556.3223301186,513667.7310472327,512143.57836914575,499688.1292253856,471968.8033623416,462436.15026940865,460471.4574497028,442356.4628372672,421904.5490603052,392510.53016394767,396711.8559801461,378683.68571441865,378430.3819324422,374033.0936737441,373125.0151462051,325258.1632950291,319576.4262662341,306868.219586192,303280.4627350676
