0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
2000597.2494599745,1461580.3236322312,2367585.40993291,906460.2295043481,2881360.591029831,2881124.4835244855,2128850.956536503,968920.7062076406,4065431.194994079,1075180.0412045794,1218177.309132207,1409318.6643811075,6925833.501759618,1437606.3996111527,7209790.660474213,7150038.146412863,1413208.7076682318,5742249.421789829,1419541.786530943,4449273.597673234,4432561.273409798,1852629.6461146462,4758217.399498151,2128928.155017404,3834032.828122167,3836126.809115184,2717650.066588182,3619522.447385569,3112125.922680889,2518850.8924081204,2528885.0009160796,2381395.471397779,2593526.9851624374,2540168.4820753974,2594385.917066922
3023003.16505381,7209927.265895429,3917496.986565702,7770697.779884039,3458807.107056788,3343820.2202606243,2289930.4689002633,6463474.722766495,884279.1378678854,6197265.092157709,6038381.990561801,5378127.053350237,884296.9655017919,4916937.80858708,827211.2040211558,839788.2160121165,6192067.906796675,928099.1664556862,848654.2200318616,6548423.66070157,6610523.84205945,982311.9766259848,5874802.174104329,5200510.451562518,1165115.4831528524,1164763.9200956896,4607785.976481608,923014.4753602367,3367664.949411966,1257865.740712385,1244984.5844617938,1181986.9133672437,3486478.7573629967,3770300.461826245,3530910.5994255585
1587765.8774634455,1000136.0103945279,1719751.3278714549,960185.4788179361,1518704.202277383,1478843.8057480217,971459.5643778273,1032670.4968903345,5922767.981153365,1087118.7970926666,1126736.1903051976,1299735.245794112,4746350.768146553,2441747.8510177853,3888715.4032943407,4097825.5171009274,3135688.658433468,3538251.5797145716,2933742.189816684,2824508.3516917285,2598284.5680312733,2635508.669216515,2124026.0512593896,1869502.9368456595,2123966.1250699195,2130751.1920488,1909810.8764985716,1904843.2659683323,1916331.1437931377,1907747.3912787004,1928442.7051979743,2076723.5254872001,2383720.8885345017,2296965.6026454056,2701786.3325631493
1612317.3852863952,2070042.068334051,1981235.1165671418,1284195.487492073,3088368.9014138896,3025343.152485398,3791788.4315829035,871500.7211193776,863857.7511950705,1860263.3988068872,1870659.7273127965,2621907.7435300318,1540088.9593489878,5682143.9271252705,2675717.476351204,2802485.849815075,2216551.5384543557,5093061.147535238,1643401.8403153499,3197244.478110762,3226750.400552097,1664979.6207705066,3353900.9486176004,4097624.3503784933,2603445.6460831156,2786615.121518112,3037380.479422066,2228857.1982642817,3008179.22528196,1577905.4372284897,1529484.6051825446,2249741.721172843,2479096.1145264287,2570144.3918700772,1560802.2178093197
908688.310448567,1136641.6370615147,962317.7089866594,1084626.6210840277,1166418.3770943098,1201832.7302235384,2219294.154877299,888029.4640566095,853814.568082983,1638567.0158042796,1700480.4096372195,1993266.2025774817,1231805.6062138083,2642775.362302809,1197775.692072591,1251378.6107573395,3371924.1533534657,1248941.9877689802,1148388.3565897644,3662051.445668206,3655904.4016041663,1144195.2894099911,4025018.082112854,1137591.089533242,3398820.179775688,3402218.9848553594,1440465.6051928028,2542943.8123276755,1645927.4554423383,2005727.272007372,2015889.591104595,2083659.3634991816,1702847.8877260946,1306201.9477288371,1307826.4577897666
3015744.812048913,909670.7720125567,3312700.2489894247,1009833.0382542436,3800968.900869813,3694263.645607034,3411480.0215183264,881624.6718294286,4210648.329774652,893873.0136455949,918425.7850641411,966569.327684391,2096191.8477438807,1009658.4249307901,1475315.087062919,1506507.66736976,1227660.474504212,1803793.528274497,1174024.247336097,1896080.4069064287,1821207.2404683367,1284876.9447104118,2307202.6397597906,2562117.320724261,1384788.743591594,1388419.9729324798,1770225.3919449628,2218432.411372477,2432004.4673230983,2772464.0089535606,2839949.5538223046,2570906.5466549033,2596878.834052028,1804801.3247510516,3167591.614880535
861696.5155243092,2623394.719349617,920729.04945138,3033502.3521956624,1183597.6031932132,1163970.711438601,1802878.4159051413,2821718.168264111,2263258.129131256,2221946.8525346634,2217092.401717068,1950764.5389184689,3595276.4820130523,1931243.2324990567,4681973.949607098,4776212.27236943,2718827.935872374,5570606.806612896,4116960.3569769263,2217895.0935416226,2404702.451997959,3960750.501109102,3066175.625670738,6289082.364537971,2754554.526504923,2810817.628156375,6673659.904485261,2157352.318763838,6431792.268795093,2205786.265902268,2218140.4016103046,2763275.637827156,2889930.1308519733,2700237.7031125277,1992435.052307911
1094622.734104569,2117540.737605042,1376685.395130029,1847480.6132229455,1472444.613282422,1401221.8442399078,2201595.470059983,1249824.1290804902,6400913.9213211015,1027024.839416643,1080031.9699338574,905431.2682399534,4994652.51066509,941241.6904276115,3613088.7279807087,3520795.092178203,3342403.4722438226,1788118.6543928562,3522615.0452671503,1686187.2306282984,1720739.5766534857,3323226.56937999,1536473.4518740284,2008287.604768767,2540619.004212131,2458030.215576854,1906887.1145444314,1115729.4036848813,2736691.1622592285,1492974.7031355945,1505562.5282004299,2849888.8606467396,2715363.4714822876,2242520.138372299,2524750.447315721
2136815.0346487984,5947217.907854317,2342554.437522276,6261089.22454706,3239636.978998736,2949714.6806641184,2972733.329800138,3791406.2911803355,1348477.168609246,4162474.79235637,3970791.5027928622,4106798.153900087,1829117.620316653,3983017.219493458,1862875.5539442191,1842817.193741614,4521235.089150819,1938428.3767939047,5109902.311216274,1646903.4692088156,1654043.67467073,5527127.1355159385,2037089.5351805482,5607891.837229076,1975006.0724459144,2000569.6969821171,5152523.879238439,1965789.3396409636,1952777.190816578,1993220.495603933,1997670.8764149458,2326957.291990143,5281461.538818134,2346705.0296208546,3802944.1426160373
1729749.2709423571,2270120.278937513,2813135.6561491285,2179225.658973177,2629946.311520818,2354310.580285979,2009997.0731848592,2667225.5110531356,1378613.4605349626,4582267.9362473665,4447285.653149456,5819008.608313321,2176696.7415791494,7153399.415982943,2440323.5106822844,2256303.949810684,1999538.3683453193,5097943.307232717,1394086.4678259778,4351187.665453184,4438716.514791426,5827725.791927337,2644948.127241143,6000571.186465522,3512259.9270138494,3541891.4376586787,3117988.613853407,2412036.5709333904,4715537.453732403,3729254.6743328087,3697241.787765499,1540386.3989502909,3450639.2404696182,1663776.4363704745,1803441.0736325379
