x,y,z
528.2645212673742,483.1044315375549,2.5
528.2645212673742,483.1044315375549,3.5
528.2645212673742,483.1044315375549,4.5
528.2645212673742,483.1044315375549,5.5
528.2645212673742,483.1044315375549,6.5
528.2645212673742,483.1044315375549,7.5
528.2645212673742,483.1044315375549,8.5
528.2645212673742,483.1044315375549,9.5
552.0449825326068,504.5510574021351,-0.5
552.0449825326068,504.5510574021351,0.5
552.0449825326068,504.5510574021351,1.5
552.0449825326068,504.5510574021351,2.5
552.0449825326068,504.5510574021351,3.5
552.0449825326068,504.5510574021351,4.5
552.0449825326068,504.5510574021351,5.5
552.0449825326068,504.5510574021351,6.5
552.0449825326068,504.5510574021351,7.5
552.0449825326068,504.5510574021351,8.5
552.0449825326068,504.5510574021351,9.5
576.6746822018831,526.3766406863016,-0.5
576.6746822018831,526.3766406863016,0.5
576.6746822018831,526.3766406863016,1.5
576.6746822018831,526.3766406863016,2.5
576.6746822018831,526.3766406863016,3.5
576.6746822018831,526.3766406863016,4.5
576.6746822018831,526.3766406863016,5.5
576.6746822018831,526.3766406863016,6.5
576.6746822018831,526.3766406863016,7.5
576.6746822018831,526.3766406863016,8.5
576.6746822018831,526.3766406863016,9.5
600.4550705711154,548.3918780814108,-0.5
600.4550705711154,548.3918780814108,0.5
600.4550705711154,548.3918780814108,1.5
600.4550705711154,548.3918780814108,2.5
600.4550705711154,548.3918780814108,3.5
600.4550705711154,548.3918780814108,4.5
600.4550705711154,548.3918780814108,5.5
600.4550705711154,548.3918780814108,6.5
600.4550705711154,548.3918780814108,7.5
600.4550705711154,548.3918780814108,8.5
600.4550705711154,548.3918780814108,9.5
624.2354953883478,570.406887325513,-0.5
624.2354953883478,570.406887325513,0.5
624.2354953883478,570.406887325513,1.5
624.2354953883478,570.406887325513,2.5
624.2354953883478,570.406887325513,3.5
624.2354953883478,570.406887325513,4.5
624.2354953883478,570.406887325513,5.5
624.2354953883478,570.406887325513,6.5
624.2354953883478,570.406887325513,7.5
624.2354953883478,570.406887325513,8.5
624.2354953883478,570.406887325513,9.5
648.440539407602,592.2315760388824,-0.5
648.440539407602,592.2315760388824,0.5
648.440539407602,592.2315760388824,1.5
648.440539407602,592.2315760388824,2.5
648.440539407602,592.2315760388824,3.5
648.440539407602,592.2315760388824,4.5
648.440539407602,592.2315760388824,5.5
648.440539407602,592.2315760388824,6.5
648.440539407602,592.2315760388824,7.5
648.440539407602,592.2315760388824,8.5
648.440539407602,592.2315760388824,9.5
672.2208913288341,614.24574097456,-0.5
672.2208913288341,614.24574097456,0.5
672.2208913288341,614.24574097456,1.5
672.2208913288341,614.24574097456,2.5
672.2208913288341,614.24574097456,3.5
672.2208913288341,614.24574097456,4.5
672.2208913288341,614.24574097456,5.5
672.2208913288341,614.24574097456,6.5
672.2208913288341,614.24574097456,7.5
672.2208913288341,614.24574097456,8.5
672.2208913288341,614.24574097456,9.5
696.4259353480884,636.2597636286401,-0.5
696.4259353480884,636.2597636286401,0.5
696.4259353480884,636.2597636286401,1.5
696.4259353480884,636.2597636286401,2.5
696.4259353480884,636.2597636286401,3.5
696.4259353480884,636.2597636286401,4.5
696.4259353480884,636.2597636286401,5.5
696.4259353480884,636.2597636286401,6.5
696.4259353480884,636.2597636286401,7.5
696.4259353480884,636.2597636286401,8.5
696.4259353480884,636.2597636286401,9.5
720.631052263343,658.2730879827831,-0.5
720.631052263343,658.2730879827831,0.5
720.631052263343,658.2730879827831,1.5
720.631052263343,658.2730879827831,2.5
720.631052263343,658.2730879827831,3.5
720.631052263343,658.2730879827831,4.5
720.631052263343,658.2730879827831,5.5
720.631052263343,658.2730879827831,6.5
720.631052263343,658.2730879827831,7.5
720.631052263343,658.2730879827831,8.5
720.631052263343,658.2730879827831,9.5
744.8360962825973,680.2864485482963,-0.5
744.8360962825973,680.2864485482963,0.5
744.8360962825973,680.2864485482963,1.5
744.8360962825973,680.2864485482963,2.5
744.8360962825973,680.2864485482963,3.5
744.8360962825973,680.2864485482963,4.5
744.8360962825973,680.2864485482963,5.5
744.8360962825973,680.2864485482963,6.5
744.8360962825973,680.2864485482963,7.5
744.8360962825973,680.2864485482963,8.5
744.8360962825973,680.2864485482963,9.5
768.6164482038293,702.1095885598249,-0.5
768.6164482038293,702.1095885598249,0.5
768.6164482038293,702.1095885598249,1.5
768.6164482038293,702.1095885598249,2.5
768.6164482038293,702.1095885598249,3.5
768.6164482038293,702.1095885598249,4.5
768.6164482038293,702.1095885598249,5.5
768.6164482038293,702.1095885598249,6.5
768.6164482038293,702.1095885598249,7.5
768.6164482038293,702.1095885598249,8.5
768.6164482038293,702.1095885598249,9.5
792.3968730210618,724.1221055942234,-0.5
792.3968730210618,724.1221055942234,0.5
792.3968730210618,724.1221055942234,1.5
792.3968730210618,724.1221055942234,2.5
792.3968730210618,724.1221055942234,3.5
792.3968730210618,724.1221055942234,4.5
792.3968730210618,724.1221055942234,5.5
792.3968730210618,724.1221055942234,6.5
792.3968730210618,724.1221055942234,7.5
792.3968730210618,724.1221055942234,8.5
792.3968730210618,724.1221055942234,9.5
816.1772978382942,746.1344188085196,-0.5
816.1772978382942,746.1344188085196,0.5
816.1772978382942,746.1344188085196,1.5
816.1772978382942,746.1344188085196,2.5
816.1772978382942,746.1344188085196,3.5
816.1772978382942,746.1344188085196,4.5
816.1772978382942,746.1344188085196,5.5
816.1772978382942,746.1344188085196,6.5
816.1772978382942,746.1344188085196,7.5
816.1772978382942,746.1344188085196,8.5
816.1772978382942,746.1344188085196,9.5
840.3823418575485,767.9564924531786,-0.5
840.3823418575485,767.9564924531786,0.5
840.3823418575485,767.9564924531786,1.5
840.3823418575485,767.9564924531786,2.5
840.3823418575485,767.9564924531786,3.5
840.3823418575485,767.9564924531786,4.5
840.3823418575485,767.9564924531786,5.5
840.3823418575485,767.9564924531786,6.5
840.3823418575485,767.9564924531786,7.5
840.3823418575485,767.9564924531786,8.5
840.3823418575485,767.9564924531786,9.5
864.5873858768027,789.9680580040636,-0.5
864.5873858768027,789.9680580040636,0.5
864.5873858768027,789.9680580040636,1.5
864.5873858768027,789.9680580040636,2.5
864.5873858768027,789.9680580040636,3.5
864.5873858768027,789.9680580040636,4.5
864.5873858768027,789.9680580040636,5.5
864.5873858768027,789.9680580040636,6.5
864.5873858768027,789.9680580040636,7.5
864.5873858768027,789.9680580040636,8.5
864.5873858768027,789.9680580040636,9.5
888.792429896057,811.7894986037868,-0.5
888.792429896057,811.7894986037868,0.5
888.792429896057,811.7894986037868,1.5
888.792429896057,811.7894986037868,2.5
888.792429896057,811.7894986037868,3.5
888.792429896057,811.7894986037868,4.5
888.792429896057,811.7894986037868,5.5
888.792429896057,811.7894986037868,6.5
888.792429896057,811.7894986037868,7.5
888.792429896057,811.7894986037868,8.5
888.792429896057,811.7894986037868,9.5
912.5727818172891,833.6105892662318,-0.5
912.5727818172891,833.6105892662318,0.5
912.5727818172891,833.6105892662318,1.5
912.5727818172891,833.6105892662318,2.5
912.5727818172891,833.6105892662318,3.5
912.5727818172891,833.6105892662318,4.5
912.5727818172891,833.6105892662318,5.5
912.5727818172891,833.6105892662318,6.5
912.5727818172891,833.6105892662318,7.5
912.5727818172891,833.6105892662318,8.5
912.5727818172891,833.6105892662318,9.5
936.7778258365433,855.8109759273332,-0.5
936.7778258365433,855.8109759273332,0.5
936.7778258365433,855.8109759273332,1.5
936.7778258365433,855.8109759273332,2.5
936.7778258365433,855.8109759273332,3.5
936.7778258365433,855.8109759273332,4.5
936.7778258365433,855.8109759273332,5.5
936.7778258365433,855.8109759273332,6.5
936.7778258365433,855.8109759273332,7.5
936.7778258365433,855.8109759273332,8.5
936.7778258365433,855.8109759273332,9.5
960.5582506537758,877.6316749635546,-0.5
960.5582506537758,877.6316749635546,0.5
960.5582506537758,877.6316749635546,1.5
960.5582506537758,877.6316749635546,2.5
960.5582506537758,877.6316749635546,3.5
960.5582506537758,877.6316749635546,4.5
960.5582506537758,877.6316749635546,5.5
960.5582506537758,877.6316749635546,6.5
960.5582506537758,877.6316749635546,7.5
960.5582506537758,877.6316749635546,8.5
960.5582506537758,877.6316749635546,9.5
984.3386754710082,899.6415164104477,-0.5
984.3386754710082,899.6415164104477,0.5
984.3386754710082,899.6415164104477,1.5
984.3386754710082,899.6415164104477,2.5
